,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,temp_air
2020-04-13 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,5.5575256
2020-04-13 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,5.2949524
2020-04-13 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,5.0450745
2020-04-13 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.7951965
2020-04-13 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,4.573761
2020-04-13 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.3523254
2020-04-13 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,4.185257
2020-04-13 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.0181885
2020-04-13 05:30:00+00:00,6.620416641235352,0.0,6.620416641235352,6.620416641235352,0.0,4.0670624
2020-04-13 06:00:00+00:00,13.240833282470703,0.0,13.240833282470703,13.240833282470703,0.0,4.1159363
2020-04-13 06:30:00+00:00,54.35201136641331,0.9654876199632278,53.38652374645008,53.38652374645008,0.0,4.4458466
2020-04-13 07:00:00+00:00,95.46318945035591,1.9309752399264557,93.53221421042946,93.53221421042946,0.0,4.775757
2020-04-13 07:30:00+00:00,144.59273077431072,14.53731076981544,130.0554200044953,130.0554200044953,0.0,4.994705
2020-04-13 08:00:00+00:00,193.72227209826553,27.14364629970442,166.57862579856112,166.57862579856112,0.0,5.2136536
2020-04-13 08:30:00+00:00,262.4558322681304,61.07150415125874,201.38432811687164,201.38432811687164,0.0,5.551285
2020-04-13 09:00:00+00:00,331.18939243799525,94.99936200281306,236.19003043518217,236.19003043518217,0.0,5.888916
2020-04-13 09:30:00+00:00,354.83288341619124,91.17314489967893,263.6597385165123,263.6597385165123,0.0,6.1524963
2020-04-13 10:00:00+00:00,378.4763743943872,87.34692779654482,291.1294465978424,291.1294465978424,0.0,6.4160767
2020-04-13 10:30:00+00:00,395.8685132252216,87.20568988892771,308.66282333629385,308.66282333629385,0.0,6.6205597
2020-04-13 11:00:00+00:00,413.26065205605596,87.06445198131061,326.1962000747453,326.1962000747453,0.0,6.8250427
2020-04-13 11:30:00+00:00,458.7401557815365,127.44490827352459,331.2952475080119,331.2952475080119,0.0,7.187866
2020-04-13 12:00:00+00:00,504.219659507017,167.82536456573857,336.3942949412785,336.3942949412785,0.0,7.5506897
2020-04-13 12:30:00+00:00,516.39247749155,192.42452264279518,323.96795484875486,323.96795484875486,0.0,7.8080444
2020-04-13 13:00:00+00:00,528.5652954760831,217.0236807198518,311.5416147562313,311.5416147562313,0.0,8.065399
2020-04-13 13:30:00+00:00,521.9651190628073,238.00780639401864,283.95731266878863,283.95731266878863,0.0,8.284332
2020-04-13 14:00:00+00:00,515.3649426495315,258.9919320681855,256.373010581346,256.373010581346,0.0,8.503265
2020-04-13 14:30:00+00:00,494.9903179282409,287.7680371795185,207.22228074872248,207.22228074872248,0.0,8.48082
2020-04-13 15:00:00+00:00,474.61569320695037,316.5441422908514,158.07155091609894,158.07155091609894,0.0,8.458374
2020-04-13 15:30:00+00:00,406.5838234912481,257.47504489016535,149.10877860108272,149.10877860108272,0.0,8.233948
2020-04-13 16:00:00+00:00,338.5519537755458,198.40594748947933,140.1460062860665,140.1460062860665,0.0,8.0095215
2020-04-13 16:30:00+00:00,277.29613630982413,164.41735028538324,112.87878602444088,112.87878602444088,0.0,7.6264954
2020-04-13 17:00:00+00:00,216.04031884410242,130.42875308128714,85.61156576281527,85.61156576281527,0.0,7.243469
2020-04-13 17:30:00+00:00,169.81944094401265,110.77479369590439,59.044647248108255,59.044647248108255,0.0,6.822052
2020-04-13 18:00:00+00:00,123.59856304392288,91.12083431052164,32.477728733401236,32.477728733401236,0.0,6.400635
2020-04-13 18:30:00+00:00,76.32303182713721,45.56041715526082,30.7626146718764,30.7626146718764,0.0,5.8445435
2020-04-13 19:00:00+00:00,29.047500610351562,0.0,29.047500610351562,29.047500610351562,0.0,5.288452
2020-04-13 19:30:00+00:00,14.523750305175781,0.0,14.523750305175781,14.523750305175781,0.0,4.991211
2020-04-13 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.6939697
2020-04-13 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,4.4555817
2020-04-13 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.2171936
2020-04-13 21:30:00+00:00,0.0,0.0,0.0,0.0,0.0,3.9309082
2020-04-13 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3.6446228
2020-04-13 22:30:00+00:00,0.0,0.0,0.0,0.0,0.0,3.414215
2020-04-13 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3.1838074
2020-04-13 23:30:00+00:00,0.0,0.0,0.0,0.0,0.0,2.7878113
2020-04-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2.3918152
2020-04-14 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,2.040207
2020-04-14 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.6885986
2020-04-14 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,1.3120575
2020-04-14 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.93551636
2020-04-14 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.53977966
2020-04-14 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.14404297
2020-04-14 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,-0.12004089
2020-04-14 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-0.38412476
2020-04-14 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,-0.62176514
